âba	abe
ajta	adlyde
ajla	ajle
ajle	alle
kaja	allike
âlinga	allinge
almingen	almindingen
ârnâga	arnager
blâd	avisen
dæmmeså	basta
hænnu	behændig
blynkja	blinke
bolsker	bodilsker
bonalâs	bondetamp
bræ	bræt
bøjser	bukser
bælla	børn
søkkel	cykel
demme	derfor
dalra	dingle
horra	dreng
dânka	dræbe
nøijer	dårligdomme
ynkja	enkelt
enjhelu	masse
igrân	smule
fâr	far
flâua	flue
fobojl	fodbold
forgryza	forbavses
pugga	frø
gjeddabuk	gedebuk
slet	glat
vræla	græde
gjâre	gærde
hâzle	hasle
helipær	helligpeder
hønnu	honning
hâupina	hovedpine
vyst	hund
hânkle	håndklæde
rælij	hæslig
hævl	høvl
ønte	ikke
jâ	jeg
tjærka	kirke
tjâul	kjole
plokgjæjl	klatgæld
klæmsker	klemensker
konna	kone
kjylj	kulde
kjela	kæle
bâza	leder
bâza	chef
lidinj	lille
tijle	loft
løjta	lygte
løjne	læ
mâd	mad
kar	mand
moer	mor
mârn	morgen
plødra	mudder
fjælstaun	nattergal
ævent	netop
nâd	noget
pånå	omtrent
naggu	ond
naggu	ondskabsfuld
panja	pande
pærsker	pedersker
permedikkel	pendul
perpendikkel	pendul
pibel	pige
paja	pige
jyjlkat	pindsvin
possa	pose
sjovli	pudsig
skalra	rasle
rønna	rønne
sølla	seler
skadda	skade
skâ	skade
sjefta	skifte
sjârta	skjorte
flâzgrina	skoggerle
rågafnat	skovflåt
slaggu	slap
âza	slæbe
svårt	sort
galra	sortere
sniva	sove
slabba	spilde
râzapaz	spilopmager
spåga	splint
lâ	stald
panjejern	stegepande
pâl	stok
svânikka	svaneke
san	sådan
skrik	taburet
tâg	tag
edja	tang
tajlkås	teglkås
tajn	tejn
tâuta	tofte
våraløs	uforsigtig
løvenasjøtt	ustyrlig
vâza	vase
hunjatjaiz	kørvel
vijlabræ	vildspor
værkli	virkelig
sjavs	vrøvl
ypnastâ	ypnasted